,Name,Price,Address,Info
0,2 bedroom flat / apartment for rent,"4,000,000","  Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
1,3 bedroom flat / apartment for rent,"7,000,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
2,4 bedroom flat / apartment for rent,"3,700,000","  Agungi, Lekki, Lagos",4 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save
3,3 bedroom flat / apartment for rent,"210,000","  Prime Water View Estate, Oba Elegushi Street, Off Freedom Way., Lekki Phase 1, Lekki, Lagos",3 Bedrooms3 Bathrooms2 Toilets Save
4,Self contain (single rooms) for rent,"180,000","  Oba Elegushi Road, Off Freedom Way, Lekki Phase 1, Lekki, Lagos",1 Bathroom1 Toilet20 sqm Covered Area Save
5,1 bedroom flat / apartment for rent,"220,000","  Alara Street, Yaba, Lagos",1 Bedroom3 Bathrooms4 Toilets2 Parking Spaces Save
6,3 bedroom flat / apartment for rent,"2,200,000","  Off Ajayi Road, Ogba, Ikeja, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
7,Self contain (single rooms) for rent,"2,300,000","  Along Chevron Drive Way,paradise 3 Estate, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
8,3 bedroom flat / apartment for rent,"12,000,000","  By Golden Gate, Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets Save
9,1 bedroom mini flat (room and parlour) for rent,"3,300,000","  Off Fola Osibo Lekki Phase 1, Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet Save
10,3 bedroom flat / apartment for rent,"4,000,000","  Ajao Estate, Anthony Village, Anthony, Maryland, Lagos",3 Bedrooms4 Bathrooms4 Toilets30 Parking Spaces Save
11,1 bedroom mini flat (room and parlour) for rent,"4,500,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
12,1 bedroom mini flat (room and parlour) for rent,"3,500,000","  Off Admiralty Way, Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom1 Toilet Save
13,2 bedroom flat / apartment for rent,"9,000,000","  Lekki Phase 1, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
14,Self contain (single rooms) for rent,"2,000,000","  Chevron Drive,paradise 3 Estate, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
15,2 bedroom flat / apartment for rent,"2,500,000","  In A Good Estate In Sangotedo Ajah, Ajah, Lagos",2 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save
16,2 bedroom flat / apartment for rent,"3,000,000","  Akora Estate, Adeniyi Jones, Ikeja, Lagos",2 Bedrooms3 Bathrooms3 Toilets Save
17,3 bedroom flat / apartment for rent,"12,000,000","  Behind Eko Hotel & Suites, Victoria Island (VI), Lagos",3 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
18,2 bedroom flat / apartment for rent,"5,000,000","  Ilasan, Ikate, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
19,1 bedroom mini flat (room and parlour) for rent,"4,000,000","  Ikate Lekki, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save
20,Self contain (single rooms) for rent,"2,500,000","  Chevron, Lekki, Lagos",1 Bathroom1 Toilet1 Parking Space Save
21,2 bedroom flat / apartment for rent,"4,000,000","  Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
22,2 bedroom flat / apartment for rent,"2,400,000","  Serene And Secure Compound Agungi Lekki, Agungi, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
23,2 bedroom flat / apartment for rent,"5,500,000","  Ikate Lekki, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save
24,3 bedroom flat / apartment for rent,"10,000,000","  Shonibare Estate, Mobolaji Bank Anthony Way, Ikeja, Lagos",3 Bedrooms4 Bathrooms4 Toilets Save
25,3 bedroom flat / apartment for rent,"6,800,000","  Osapa London, Lekki, Lagos",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
26,1 bedroom mini flat (room and parlour) for rent,"6,200,000","  Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
27,1 bedroom mini flat (room and parlour) for rent,"250,000","  Nichemtex Estate, Baiyeku, Ikorodu, Lagos",1 Bedroom2 Toilets Save
28,1 bedroom mini flat (room and parlour) for rent,"4,200,000","  Ologolo, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
29,3 bedroom flat / apartment for rent,"18,000,000","  Ikoyi, Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save
30,2 bedroom flat / apartment for rent,"2,500,000","  Igbo Efon, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
31,Self contain (single rooms) for rent,"1,300,000","  Lekki Paradise 3 Estate, Chevron Drive, Chevron, Lekki, Lagos",1 Bathroom1 Toilet Save
32,2 bedroom flat / apartment for rent,"4,000,000","  Off Domino Pizza Ologolo Lekki Lagos, Ologolo, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
33,1 bedroom mini flat (room and parlour) for rent,"4,000,000","  Lekki Phase 1, Lekki, Lagos",1 Bedroom1 Bathroom2 Toilets1 Parking Space Save
34,2 bedroom flat / apartment for rent,"9,000,000","  Admiralty Road Lekki Phase One, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
35,3 bedroom flat / apartment for rent,"60,000","  Ikoyi, Lagos",3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save
36,3 bedroom flat / apartment for rent,"1,500,000","  Isolo, Lagos",3 Bedrooms4 Bathrooms3 Toilets8 Parking Spaces Save
37,Self contain (single rooms) for rent,"1,500,000","  Divine Homes, Thomas Estate, Ajah, Lagos",1 Bathroom1 Toilet1 Parking Space Save
38,2 bedroom flat / apartment for rent,"1,300,000","  Close To Ago Palace Way, Isolo, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
39,1 bedroom mini flat (room and parlour) for rent,"1,200,000","  Yaba, Yaba, Lagos",1 Bedroom1 Bathroom2 Toilets6 Parking Spaces Save
40,4 bedroom flat / apartment for rent,"85,000","  Bourdillon Road, Ikoyi, Lagos",4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save
41,2 bedroom flat / apartment for rent,"1,200,000","  Bucknor Estate, Isolo, Lagos",2 Bedrooms2 Bathrooms3 Toilets Save
42,2 bedroom flat / apartment for rent,"4,000,000","  Lekki Scheme 2 Off Abraham Adesanya Road, Ajah, Lagos",2 Bedrooms2 Bathrooms3 Toilets12 Parking Spaces Save
43,2 bedroom flat / apartment for rent,"4,000,000","  Ologolo, Lekki, Lagos",2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save
44,2 bedroom flat / apartment for rent,"6,000,000","  Off Akin Adesola, Victoria Island (VI), Lagos",2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save
